frac, phi, Eg, dge, Ed, s, Ce, ge, Y
0.233887,0.5,107.7091,0.7083825694,5000,0.95,0.827184,2.82353,1
0.233718,0.5,111.6189,0.6714433425,10000,0.95,0.817695,2.85904,1
0.216424,0.5,119.5396,0.630669913,10000,0.8,0.877305,2.8742,1
0.202327,0.45,142.4685,0.6174605631,5000,0.65,0.933769,2.83079,1
0.238835,0.5,115.697,0.6846135063,10000,1,0.804683,2.84963,1
0.234737,0.5,116.2433,0.6756150296,7000,0.95,0.824862,2.8494,1
0.211886,0.45,144.3082,0.6336268723,10000,0.8,0.880987,2.8426,1
0.241087,0.5,107.8757,0.6851126787,7000,1,0.796484,2.85603,1
0.201635,0.4,167.9346,0.6066830398,5000,0.65,0.925288,2.81587,1
0.214861,0.45,136.5476,0.6535739232,5000,0.8,0.883525,2.82204,1
0.190629,0.35,199.3948,0.5404369638,7000,0.5,0.945874,2.83902,1
0.233636,0.5,118.983,0.6775682532,10000,0.95,0.827845,2.84744,1
0.216334,0.45,140.7849,0.6294775473,10000,0.85,0.857523,2.85608,1
0.223412,0.45,153.5127,0.6480551235,10000,0.9,0.850885,2.83669,1
0.200182,0.45,151.6614,0.5877946223,10000,0.65,0.929021,2.86214,1
0.191147,0.35,184.8212,0.5475738944,5000,0.5,0.945648,2.83259,1
0.229072,0.45,152.4579,0.6665140866,10000,0.95,0.836149,2.82475,1
0.189965,0.35,198.328,0.5412585279,7000,0.5,0.945917,2.83881,1
0.234736,0.45,141.0243,0.6819257662,10000,1,0.811756,2.82176,1
0.229684,0.45,144.6132,0.6635176904,10000,0.95,0.829406,2.83042,1
0.230556,0.5,127.5613,0.6798373128,10000,0.95,0.836267,2.83947,1
0.222101,0.4,173.6684,0.6512861355,7000,0.9,0.848464,2.80765,1
0.222344,0.45,147.7782,0.6561450955,10000,0.9,0.850173,2.83043,1
0.191462,0.4,158.0495,0.5525158898,5000,0.5,0.956356,2.85199,1
0.236551,0.55,96.7646,0.6961269813,10000,0.95,0.822673,2.86351,1
0.234559,0.45,151.7633,0.6659490083,10000,1,0.814329,2.83092,1
0.193538,0.35,171.4082,0.5714805426,3000,0.5,0.947993,2.80622,1
0.227481,0.5,117.0078,0.6659760309,7000,0.9,0.844448,2.8523,1
0.202341,0.45,142.63,0.6238300671,5000,0.65,0.935493,2.82269,1
0.226423,0.5,117.308,0.6611190494,10000,0.9,0.842537,2.85993,1
0.195027,0.4,165.9042,0.5808087623,5000,0.6,0.935198,2.83525,1
0.230265,0.5,124.2229,0.6709567058,10000,0.95,0.830859,2.85142,1
0.232727,0.5,116.9727,0.6792623437,7000,0.95,0.827175,2.84588,1
0.184611,0.35,186.287,0.5307572188,7000,0.5,0.941852,2.85427,1
0.227927,0.5,118.348,0.6875874197,5000,0.9,0.853363,2.82811,1
0.208773,0.45,142.8963,0.6121788638,10000,0.75,0.894072,2.85664,1
0.224265,0.45,150.8524,0.6524736228,7000,0.9,0.851143,2.83122,1
